SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
BAH,79.79,Consumer%2bServices,23.47,22.49,3.40,1.88,3.18,1.63
BXP,90.76,Consumer%2bServices,15.46,13.21,5.87,2.69,7.01,1.83
BOXL,0.8052,Consumer%2bServices,NE,NE,-0.59,.00,-0.88,1.57
BYD,21.14,Consumer%2bServices,25.47,NE,0.83,-.84,1.79,1.41
BHR,3.31,Consumer%2bServices,NE,NE,-0.71,-.01,1.41,2.2
BDN,10.36,Consumer%2bServices,49.33,7.54,0.21,.01,1.43,2.9
BEDU,8.07,Consumer%2bServices,20.69,19.83,0.39,.02,0.3,3
EAT,24.21,Consumer%2bServices,7.69,23.10,3.15,2.31,3.93,2.29
BRX,12.66,Consumer%2bServices,13.91,7.42,0.91,.01,1.91,2.33
BRMK,10.53,Consumer%2bServices,,,,.01,999,1.5
BAM,34.06,Consumer%2bServices,29.88,19.83,1.14,.02,1.73,2
BIP,42.46,Consumer%2bServices,169.84,14.12,0.25,.01,0.07,1.67
BPYU,10.93,Consumer%2bServices,,,,N/A,,
BPYUP,17.01,Consumer%2bServices,,,,,,
BRT,10.66,Consumer%2bServices,,,,.01,999,2.33
BKE,15.46,Consumer%2bServices,9.72,12.64,1.59,.01,2.14,5
BBW,2.35,Consumer%2bServices,NE,NE,-1.48,.00,0.02,1
BLDR,21.58,Consumer%2bServices,13,20.66,1.66,.02,2.09,1.75
BURL,206.67,Consumer%2bServices,299.52,NE,0.69,-113.11,7.41,1.28
CABO,1800,Consumer%2bServices,49.45,44.94,36.40,.04,33.44,3
CZR,12.28,Consumer%2bServices,NE,NE,-1.81,-.01,-0.86,2.14
CALX,13.98,Consumer%2bServices,NE,464.33,-0.26,.46,-0.14,1
CPT,93.51,Consumer%2bServices,41.56,19.09,2.25,3.89,5.04,1.59
CNNE,38.26,Consumer%2bServices,4.07,4.43,9.41,.00,,1
CPHC,11.16,Consumer%2bServices,17.71,,0.63,N/A,,
BXMT,25.01,Consumer%2bServices,18.53,12.82,1.35,.01,2.46,2.33
CMO,5.47,Consumer%2bServices,NE,9.28,-2.74,.01,0.5,1
CTRE,18.22,Consumer%2bServices,35.04,14.30,0.52,.01,1.36,2.13
CCL,17.83,Consumer%2bServices,NE,NE,-4.02,.00,4.4,3.14
CUK,14.92,Consumer%2bServices,NE,,-4.02,N/A,,4
CSV,19.12,Consumer%2bServices,91.05,13.69,0.21,.91,1.2,1
TAST,4.82,Consumer%2bServices,NE,NE,-0.88,-.02,-0.36,1.5
CTT,8.55,Consumer%2bServices,NE,NE,-1.37,-.04,-2.05,2
CATO,8.1,Consumer%2bServices,NE,,-0.60,N/A,,
CBL,0.2961,Consumer%2bServices,NE,.31,-0.94,.00,1.36,4.66
CDW,116.95,Consumer%2bServices,22.8,22.25,5.13,1.70,6.02,2.71
FUN,33.14,Consumer%2bServices,49.46,NE,0.67,-.01,3.08,1.29
CDR,1.01,Consumer%2bServices,NE,2.49,-0.18,.00,0.45,2.6
CETV,3.57,Consumer%2bServices,11.52,,0.31,N/A,,
CNTY,4.85,Consumer%2bServices,NE,NE,-2.23,-.08,-0.65,1
GIB,63.72,Consumer%2bServices,18.58,19.02,3.43,3.13,3.54,1.89
CHTR,536.67,Consumer%2bServices,64.89,47.06,8.27,1.24,7.54,1.74
CLDT,6.29,Consumer%2bServices,NE,NE,-0.23,-.04,1.85,2.5
CHGG,67.81,Consumer%2bServices,NE,100.17,-0.11,3.34,0.41,1.67
CHMI,9.22,Consumer%2bServices,NE,7.40,-4.55,.01,2.01,1
CHWY,50.3,Consumer%2bServices,NE,NE,-0.68,-.12,-0.63,1.85
CSSE,7.38,Consumer%2bServices,NE,NE,-3.58,.00,-1.13,1.14
CSSEP,22.4027,Consumer%2bServices,,,,,,
CHS,1.39,Consumer%2bServices,NE,NE,-1.68,-.14,-0.02,2.75
PLCE,38.75,Consumer%2bServices,NE,60.16,-3.38,7.52,5.36,2.3
CIM,10.26,Consumer%2bServices,NE,7.60,-0.80,.01,2.25,2.67
DL,8.58,Consumer%2bServices,11.14,29.10,0.77,1.94,0.63,
CLEU,4.8083,Consumer%2bServices,,,,N/A,,
COE,27.31,Consumer%2bServices,455.17,,0.06,N/A,,1.5
CMG,1010.83,Consumer%2bServices,84.66,122.33,11.94,8.13,14.05,2.31
CHH,82.56,Consumer%2bServices,18.64,36.58,4.43,.04,4.32,2.82
CHSCL,26.72,Consumer%2bServices,,,,,,
CHSCM,24.85,Consumer%2bServices,,,,,,
CHSCN,24.97,Consumer%2bServices,,,,,,
CHSCO,27.49,Consumer%2bServices,,,,,,
CHSCP,30.14,Consumer%2bServices,,,,N/A,,
CHDN,133.51,Consumer%2bServices,53.4,92.60,2.50,.09,4.43,1
CHUY,15.13,Consumer%2bServices,NE,NE,-0.58,-.04,1.04,2.44
CMCT,10.22,Consumer%2bServices,5.52,NE,1.85,-.01,-0.5,
CMCTP,23.51,Consumer%2bServices,,,,,,
CIDM,2.33,Consumer%2bServices,NE,,-0.43,N/A,,1
CNK,14.06,Consumer%2bServices,16.74,NE,0.84,-.56,1.63,1.8
CTRN,16.89,Consumer%2bServices,NE,,-1.22,N/A,,
CIO,9.96,Consumer%2bServices,NE,9.85,-0.09,.01,1.17,1.88
CVEO,0.63,Consumer%2bServices,NE,NE,-1.13,.00,-0.23,2
CCO,1.22,Consumer%2bServices,NE,NE,-1.03,-.15,-0.63,1.86
CLPR,7.09,Consumer%2bServices,NE,14.31,-0.12,.01,0.5,1.5
CCOI,78.91,Consumer%2bServices,96.23,79.40,0.82,7.48,0.76,3.09
CLNY,2.65,Consumer%2bServices,NE,NE,-2.89,-.04,0.5,1
CLNC,6.99,Consumer%2bServices,NE,10.86,-3.97,.01,-0.36,2
CXP,13.63,Consumer%2bServices,136.3,9.53,0.10,.01,1.5,2.33
CCZ,59.33,Consumer%2bServices,,,,,,
CMCSA,39.1,Consumer%2bServices,15.52,16.78,2.52,1.79,3.13,1.87
CHCT,43.44,Consumer%2bServices,90.5,22.12,0.48,.02,1.77,1.75
CBD,12.95,Consumer%2bServices,,,,.91,,1
CDOR,4.21,Consumer%2bServices,NE,32.71,-0.74,.03,0.94,3
CDOR,4.21,Consumer%2bServices,NE,32.71,-0.74,.03,0.94,3
CONN,9.13,Consumer%2bServices,NE,NE,-0.65,-.25,1.92,2.67
TCS,3.18,Consumer%2bServices,8.37,8.05,0.38,.01,0.42,5
CXW,9.84,Consumer%2bServices,6.83,4.61,1.44,.00,2.62,2
CORR,11.34,Consumer%2bServices,NE,9.01,-0.39,.01,3.83,4
CPLG,4.04,Consumer%2bServices,NE,NE,-3.64,-.01,1.57,3
COR,121.49,Consumer%2bServices,61.05,23.27,1.99,1.11,5.1,2.75
OFC,25.36,Consumer%2bServices,14.66,12.49,1.73,2.83,2.03,2.45
COST,299.9,Consumer%2bServices,35.87,35.45,8.36,4.22,8.19,1.93
CUZ,30.74,Consumer%2bServices,16.01,11.51,1.92,4.26,2.94,1.33
CBRL,112,Consumer%2bServices,486.96,49.61,0.23,.05,9.27,2.43
CCI,170.45,Consumer%2bServices,89.24,28.54,1.91,1.36,5.69,1.77
CUBE,26.91,Consumer%2bServices,29.9,17.22,0.90,7.97,1.69,3.36
CMLS,5.34,Consumer%2bServices,2.02,NE,2.64,.00,3.63,2
CONE,76.665,Consumer%2bServices,NE,19.56,-0.30,.89,3.63,1.54
DJCO,279,Consumer%2bServices,NE,,-36.79,N/A,,
DRI,70.27,Consumer%2bServices,13.7,28.73,5.13,2.87,5.82,1.79
DSKE,3.15,Consumer%2bServices,NE,NE,-4.97,-.01,0.03,1
DSKEW,0.05,Consumer%2bServices,,,,,,
PLAY,16.01,Consumer%2bServices,45.74,NE,0.35,-.33,3.02,2.6
TACO,6.1,Consumer%2bServices,NE,307,-5.99,20.47,0.47,1.67
TACOW,0.0651,Consumer%2bServices,,,,,,
DENN,10.78,Consumer%2bServices,5.92,80.36,1.82,8.93,0.77,1.4
DBI,6.66,Consumer%2bServices,NE,NE,-2.14,-.01,1.53,3.14
DESP,7.89,Consumer%2bServices,NE,NE,-0.54,-.53,-0.13,2.2
DXLG,0.586,Consumer%2bServices,NE,,-0.91,N/A,,
DSSI,8.82,Consumer%2bServices,9.69,1.91,0.91,.00,0.36,1
DRH,5.66,Consumer%2bServices,8.2,NE,0.69,-.07,1.07,3.03
DKS,39.4,Consumer%2bServices,38.63,53.27,1.02,13.06,3.69,2.44
DLR,139.85,Consumer%2bServices,50.13,23.74,2.79,3.60,6.65,1.88
DDS,26.34,Consumer%2bServices,NE,NE,-5.56,.00,4.17,4
DDT,21.7286,Consumer%2bServices,,,,,,
DIN,42.75,Consumer%2bServices,7.86,35.77,5.44,.04,6.95,2
DISCA,22.15,Consumer%2bServices,7.64,7.71,2.90,.61,3.69,1.69
DISCB,39.4,Consumer%2bServices,13.59,,2.90,N/A,,
DISCK,20.14,Consumer%2bServices,6.94,,2.90,N/A,,3
DISH,35.45,Consumer%2bServices,17.04,19.31,2.08,.02,2.6,2.27
DHC,3.955,Consumer%2bServices,NE,5.35,-0.46,.01,1.31,2.83
DHCNI,18.67,Consumer%2bServices,,,,,,
DHCNL,19.49,Consumer%2bServices,,,,,,
DG,188.78,Consumer%2bServices,24.42,21.64,7.73,1.75,6.73,1.64
DLTR,88.8,Consumer%2bServices,26.12,19.50,3.40,2.00,4.76,2.12
DLPN,0.9762,Consumer%2bServices,NE,,-0.38,N/A,,1
DLPNW,0.0899,Consumer%2bServices,,,,,,
DFIN,8.23,Consumer%2bServices,6.53,5.59,1.26,.01,1.1,1
DEI,30.23,Consumer%2bServices,14.67,14.47,2.06,2.61,2.1,2.07
DVD,1.5,Consumer%2bServices,11.54,,0.13,N/A,,
DKNG,42,Consumer%2bServices,,,,-.06,999,1.08
DKNGW,30.55,Consumer%2bServices,,,,,,
DS,1.95,Consumer%2bServices,NE,NE,-0.94,.00,-0.84,1
DRE,35.6,Consumer%2bServices,32.36,25.57,1.10,5.98,1.44,1.8
DLTH,7.15,Consumer%2bServices,20.43,19.16,0.35,.02,0.58,3
DNKN,64.09,Consumer%2bServices,22.18,25.00,2.89,2.54,3.17,2.33
DLNG,3.38,Consumer%2bServices,NE,6.09,-0.09,.01,0.02,3
DX,14.33,Consumer%2bServices,NE,11.22,-9,.01,,2.5
SSP,8.37,Consumer%2bServices,NE,NE,-0.30,-.29,0.05,1
DEA,23.5,Consumer%2bServices,180.77,19.56,0.13,.02,1.2,2.2
EGP,117.55,Consumer%2bServices,36.62,23.28,3.21,5.67,4.98,2.4
MOHO,2.66,Consumer%2bServices,,,,N/A,,
LOCO,14.59,Consumer%2bServices,19.45,35.30,0.75,.04,0.75,2
ERI,42.01,Consumer%2bServices,NE,NE,-1.71,-.01,1.47,1.72
EARN,10.4,Consumer%2bServices,NE,,-0.28,N/A,,1
ESRT,6.85,Consumer%2bServices,28.54,11.53,0.24,8.67,0.9,3.4
ENG,1.06,Consumer%2bServices,53,,0.02,N/A,,
EBF,16.51,Consumer%2bServices,11.16,,1.48,N/A,,
ETM,1.79,Consumer%2bServices,NE,5.68,-3.24,.01,1,2.33
EVC,1.81,Consumer%2bServices,NE,NE,-0.66,.00,0.15,1
ELA,4.22,Consumer%2bServices,,,,N/A,,
EPR,36.68,Consumer%2bServices,18.91,10.92,1.94,.01,5.44,2.7
EQIX,711.43,Consumer%2bServices,119.77,32.28,5.94,1.54,22.81,1.33
EQC,31.56,Consumer%2bServices,5.67,80.10,5.57,.08,0.78,2.5
ELS,64.28,Consumer%2bServices,50.42,29.86,1.27,5.95,2.09,2
EQR,59.58,Consumer%2bServices,18.97,18.66,3.14,4.14,3.49,2.88
EROS,3.12,Consumer%2bServices,NE,,-6.24,N/A,,
GMBL,6.75,Consumer%2bServices,,,,N/A,,
GMBLW,3.49,Consumer%2bServices,,,,,,
EPRT,17.09,Consumer%2bServices,26.29,15.36,0.65,3.42,0.63,2.3
ESS,233.78,Consumer%2bServices,24.3,18.22,9.62,4.99,13.38,2.3
EDRY,4.25,Consumer%2bServices,NE,NE,-2.21,.00,-0.69,1
EVRI,5.87,Consumer%2bServices,NE,NE,-0.02,-.01,0.28,1
EVI,24,Consumer%2bServices,160,,0.15,N/A,,
EVH,6.29,Consumer%2bServices,NE,NE,-3.96,-.01,-0.91,1.44
XAN,2.65,Consumer%2bServices,NE,6.13,-5.67,.01,1,2
EXPE,82.06,Consumer%2bServices,NE,NE,-4.80,-.98,4.91,2.29
EXPO,77.715,Consumer%2bServices,48.57,57.95,1.60,.06,1.53,2
EXPR,1.87,Consumer%2bServices,NE,NE,-4.81,.00,-0.13,3
STAY,11.85,Consumer%2bServices,43.89,62.68,0.27,.06,0.95,2.2
EXR,92.97,Consumer%2bServices,27.92,19.69,3.33,10.88,4.88,2.78
EZPW,6.085,Consumer%2bServices,NE,11.04,-0.67,.01,0.9,1.67
FPI,6.6,Consumer%2bServices,NE,33.85,-0.07,.03,0.13,2.75
FAST,41.585,Consumer%2bServices,29.92,31.57,1.39,3.51,1.38,2.82
FAT,3.56,Consumer%2bServices,NE,NE,-0.22,-.01,-0.09,3
FRT,84.75,Consumer%2bServices,18.79,15.41,4.51,6.73,6.33,2.06
FRGI,6.35,Consumer%2bServices,NE,NE,-3.57,-.01,0.35,3
FR,38.19,Consumer%2bServices,19,21.80,2.01,.02,1.74,2.22
FCFS,65.38,Consumer%2bServices,18.06,20.52,3.62,.02,3.89,2
FIVE,107.25,Consumer%2bServices,61.29,70.87,1.75,3.64,2.98,1.54
BDL,16.1,Consumer%2bServices,8.8,,1.83,N/A,,
FLNG,4.76,Consumer%2bServices,43.27,,0.11,N/A,,
FND,56.57,Consumer%2bServices,37.71,72.89,1.50,3.31,1.15,1.93
FLNT,2.08,Consumer%2bServices,NE,NE,-0.03,-.07,-0.02,3
FL,28.09,Consumer%2bServices,13.25,45.70,2.12,4.43,4.93,2.5
FORR,31.75,Consumer%2bServices,198.44,NE,0.16,-12.29,-0.52,1.67
FBM,15.99,Consumer%2bServices,13.55,45.74,1.18,30.70,0.97,2.63
FCPT,23.72,Consumer%2bServices,22.17,20.86,1.07,.02,1.39,2
FEDU,1.15,Consumer%2bServices,NE,,-0.35,N/A,,
FOX,27.82,Consumer%2bServices,13,,2.14,N/A,,1
FOXA,28.32,Consumer%2bServices,13.23,12.13,2.14,.01,2.63,2.74
FRAN,3.69,Consumer%2bServices,NE,,-8.60,N/A,,
FC,22.25,Consumer%2bServices,71.77,468.80,0.31,31.25,-0.07,1.5
FSP,4.73,Consumer%2bServices,78.83,6.43,0.06,.01,0.91,3
FCN,104.11,Consumer%2bServices,18.83,19.29,5.53,.02,5.8,1
FLL,1.72,Consumer%2bServices,NE,14.83,-0.35,.01,-0.22,1
GAIA,8.075,Consumer%2bServices,NE,NE,-0.82,-1.21,-0.99,1.33
GME,4.88,Consumer%2bServices,NE,NE,-7.42,.00,0.22,3.5
GLPI,38,Consumer%2bServices,20.77,11.73,1.83,1.93,3.44,1.22
GCI,1.86,Consumer%2bServices,NE,NE,-1.92,.00,1.54,4.33
GPS,10.66,Consumer%2bServices,NE,NE,-2.19,-.39,1.97,3.29
IT,120.03,Consumer%2bServices,37.86,39.83,3.17,3.98,3.9,2
GLOG,3.19,Consumer%2bServices,NE,14.73,-1.87,.01,0.29,1.67
GLOP,4.12,Consumer%2bServices,NE,3.71,-1.56,.00,1.82,3
GATX,61.35,Consumer%2bServices,10.21,15.68,6.01,.02,5.51,1.67
GMTA,25.35,Consumer%2bServices,,,,,,
GCO,20.47,Consumer%2bServices,NE,NE,-5.72,-.14,4.58,2
GNUS,2.94,Consumer%2bServices,,,,N/A,,
G,35.17,Consumer%2bServices,20.81,23.37,1.69,1.67,1.56,1.64
GEO,11.83,Consumer%2bServices,9.31,5.28,1.27,.53,2.75,3
GOOD,18.555,Consumer%2bServices,NE,11.95,-0.24,.01,1.58,1.45
GOODM,24.675,Consumer%2bServices,,,,,,
GOODN,23.55,Consumer%2bServices,,,,,,
LAND,15.23,Consumer%2bServices,NE,22.60,-0.05,.02,0.57,1.4
LANDP,26.1991,Consumer%2bServices,,,,,,
ENT,6.63,Consumer%2bServices,NE,NE,-41.75,.00,-41.5,0
GMRE,12.07,Consumer%2bServices,109.73,15.06,0.11,.02,0.75,1.14
GNL,16.68,Consumer%2bServices,43.89,10.22,0.38,.01,1.85,2.2
SELF,4,Consumer%2bServices,400,,0.01,N/A,,0
GSAT,0.3283,Consumer%2bServices,NE,NE,-0.05,-.01,-0.16,3
GMS,22.65,Consumer%2bServices,11.86,7.82,1.91,.01,2.8,1.75
GOGO,2.87,Consumer%2bServices,NE,NE,-2.64,.00,-1.24,2.43
GLNG,8.08,Consumer%2bServices,,,,-.28,999,1.31
GMLP,2.76,Consumer%2bServices,NE,4,-0.05,.50,0.81,2.17
GMLPP,18.25,Consumer%2bServices,,,,,,
GDEN,9.82,Consumer%2bServices,NE,NE,-2.31,.00,-0.87,1.67
GOGL,4.07,Consumer%2bServices,NE,,-0.80,N/A,,
GTIM,1.14,Consumer%2bServices,NE,,-1.54,N/A,,
GPX,7.73,Consumer%2bServices,9.66,56.71,0.80,3.78,0.84,1.67
GHC,325.85,Consumer%2bServices,8.22,,39.63,N/A,,
LOPE,95.49,Consumer%2bServices,17.88,17.86,5.34,1.19,5.58,1
GPMT,7.03,Consumer%2bServices,24.24,8.04,0.29,.01,1.32,2.25
GTN,14.22,Consumer%2bServices,7.18,6.07,1.98,.61,1.27,1
AJX,9.01,Consumer%2bServices,7.21,11.82,1.25,.01,1.51,1.33
AJXA,24.125,Consumer%2bServices,,,,,,
GHG,14.42,Consumer%2bServices,35.17,35.90,0.41,3.50,0.64,1.25
GO,35.02,Consumer%2bServices,159.18,43.51,0.22,.04,0.79,1.73
GRWG,7.31,Consumer%2bServices,NE,92.50,-0.01,.09,0.1,1
TV,5.73,Consumer%2bServices,NE,NE,-0.48,-1.29,0.42,3.38
GSX,57.81,Consumer%2bServices,289.05,121.85,0.20,.12,,2
GYRO,17,Consumer%2bServices,,,,N/A,,
HRB,15.73,Consumer%2bServices,1573,5.20,0.01,.52,0.84,2.67
HLG,46.8,Consumer%2bServices,,,,N/A,,
HBI,11.35,Consumer%2bServices,7.99,19.68,1.42,5.96,1.76,2.9
HASI,29.17,Consumer%2bServices,22.27,23.37,1.31,8.99,1.18,1.4
HSC,12.54,Consumer%2bServices,2.1,23.72,5.97,.02,0.9,1
HVT,16.15,Consumer%2bServices,16.15,30.05,1,.03,1.17,3
HDS,34.82,Consumer%2bServices,13.82,13.96,2.52,3.70,3.57,2.25
HR,30.44,Consumer%2bServices,108.71,19.02,0.28,.02,1.6,2.67
HTA,27.26,Consumer%2bServices,170.38,17.19,0.16,.02,1.64,1.67
HTIA,21.45,Consumer%2bServices,,,,,,
PEAK,26.32,Consumer%2bServices,51.61,16.87,0.51,4.20,1.76,2.08
HMTV,9.1,Consumer%2bServices,NE,,-0.29,N/A,,
HT,6.23,Consumer%2bServices,NE,NE,-1.17,-10.43,1.94,3.45
HTZ,1.73,Consumer%2bServices,NE,NE,-1.67,.00,1.44,4
HIBB,19.395,Consumer%2bServices,NE,31.46,-0.94,4.36,2.33,2.67
HIW,38.6,Consumer%2bServices,12.78,10.95,3.02,2.31,3.33,1.73
HIL,1.6,Consumer%2bServices,9.41,,0.17,N/A,,
HGV,21,Consumer%2bServices,10.82,57.89,1.94,.06,2.11,2.6
HLT,76.17,Consumer%2bServices,29.75,78.95,2.56,8.28,3.9,2.48
HMG,10.53,Consumer%2bServices,,,,N/A,,
HMLP,9.93,Consumer%2bServices,8.21,7.46,1.21,1.82,2.09,2.2
HD,246.65,Consumer%2bServices,24.52,25.15,10.06,2.23,10.25,1.88
HST,11.67,Consumer%2bServices,11.55,174.29,1.01,.17,1.78,2.35
HMHC,2.1,Consumer%2bServices,NE,NE,-3.56,.00,-1.37,3.5
HHC,55.02,Consumer%2bServices,NE,NE,-1.91,-.01,1.71,2
HTHT,37.4,Consumer%2bServices,44,NE,0.85,-4.27,0.85,2.2
HUSN,0.95,Consumer%2bServices,,,,N/A,,
HUD,5.16,Consumer%2bServices,NE,NE,-0.68,.00,0.65,3
HCFT,2.52,Consumer%2bServices,9.69,9.57,0.26,.01,,1
HURN,41.66,Consumer%2bServices,NE,31.75,-0.23,2.27,2.74,1.5
HBP,1.26,Consumer%2bServices,NE,,-1.05,N/A,,
H,53.04,Consumer%2bServices,9.37,NE,5.66,-5.01,2.05,3.14
HYRE,2.83,Consumer%2bServices,NE,NE,-0.97,.00,-0.89,1
IAC,295.32,Consumer%2bServices,268.47,205.51,1.10,.21,4.53,1
ICFI,63.1,Consumer%2bServices,18.89,18.01,3.34,1.80,4.15,1.4
IDEX,2.22,Consumer%2bServices,NE,,-1.06,N/A,,
IFMK,1.11,Consumer%2bServices,NE,,-0.62,N/A,,
IHRT,9.57,Consumer%2bServices,,,,-1.35,999,1.57
IMBI,3.11,Consumer%2bServices,NE,,-5.32,N/A,,1
IMH,1.98,Consumer%2bServices,NE,,-0.38,N/A,,
IOR,11.51,Consumer%2bServices,11.99,,0.96,N/A,,
IRT,11.01,Consumer%2bServices,23.43,16.11,0.47,.02,0.76,2.27
ILPT,20.55,Consumer%2bServices,27.4,12.02,0.75,2.75,1.76,2.25
III,2.01,Consumer%2bServices,33.5,29,0.06,2.07,0.16,2
IMKTA,40.8,Consumer%2bServices,8.06,9.43,5.06,.92,,1
IHT,0.98,Consumer%2bServices,,,,N/A,,
NSIT,48.66,Consumer%2bServices,11.34,10.57,4.29,.01,5.42,2
ISIG,0.7638,Consumer%2bServices,NE,,-0.40,N/A,,
IHG,48.17,Consumer%2bServices,,,,10.49,,2.88
IGT,9.08,Consumer%2bServices,NE,NE,-1.50,-.01,1.08,2.5
INSW,18.49,Consumer%2bServices,26.04,2.96,0.71,.00,0.61,1
INUV,0.5944,Consumer%2bServices,NE,NE,-0.11,-.16,-0.16,1
IVR,4.34,Consumer%2bServices,1.79,,2.43,N/A,,5
IRET,70.45,Consumer%2bServices,12,20.72,5.87,.02,3.72,2.46
IQ,24.46,Consumer%2bServices,NE,NE,-2.26,-.02,-2.03,2.25
IRM,26.34,Consumer%2bServices,25.33,12.73,1.04,2.18,2.29,2.25
IRS,3.21,Consumer%2bServices,,,,.03,,3
IRCP,6.19,Consumer%2bServices,NE,NE,-10.51,.00,,3
STAR,12.85,Consumer%2bServices,3.74,NE,3.44,-.01,3.73,2
IZEA,1.37,Consumer%2bServices,NE,NE,-0.38,-.02,,3
JAX,5.42,Consumer%2bServices,NE,,-0.86,N/A,,0
MAYS,22.2485,Consumer%2bServices,317.84,,0.07,N/A,,
JACK,70.53,Consumer%2bServices,32.21,21.32,2.19,1.80,4.35,2.07
JAN,3.3801,Consumer%2bServices,,,,N/A,,
JBGS,30.28,Consumer%2bServices,50.47,19.54,0.60,13.47,1.61,3
JD,58.64,Consumer%2bServices,104.71,71.52,0.56,1.53,0.68,1.46
JCAP,14.13,Consumer%2bServices,NE,57.48,-1.75,.06,1.9,1.4
JCTCF,6.41,Consumer%2bServices,18.31,,0.35,N/A,,
JCI,34.32,Consumer%2bServices,5.67,18.08,6.05,2.26,1.96,2.23
JMIA,5.92,Consumer%2bServices,,,,.00,-3.41,2.83
JP,1.55,Consumer%2bServices,NE,,-0.68,N/A,,
LRN,26.23,Consumer%2bServices,46.02,48.21,0.57,3.21,0.91,1
KRC,62.53,Consumer%2bServices,33.62,16.98,1.86,3.34,3.91,1.73
KIM,12.72,Consumer%2bServices,16.96,10.18,0.75,8.48,1.47,3
KEX,55.06,Consumer%2bServices,NE,24.89,-2.51,2.49,2.9,2
KIRK,2.03,Consumer%2bServices,NE,,-3.70,N/A,,
KRG,11.34,Consumer%2bServices,NE,9.51,-0.08,7.26,1.66,2.4
KREF,17.48,Consumer%2bServices,32.98,10.32,0.53,.01,1.67,2.25
KNOP,14.31,Consumer%2bServices,11.73,,1.22,N/A,,2
KSS,22.25,Consumer%2bServices,43.63,NE,0.51,-.80,4.86,3
KR,32.24,Consumer%2bServices,12.35,11.83,2.61,2.42,2.2,2.38
KRUS,16.01,Consumer%2bServices,,,,-.02,0.27,1
LB,14.48,Consumer%2bServices,NE,NE,-2.54,-20.03,2.29,2.32
LADR,7.76,Consumer%2bServices,9.82,15.35,0.79,.02,1.45,1.43
LAIX,2.65,Consumer%2bServices,NE,NE,-2.03,.00,-1.67,3.7
LAMR,74.365,Consumer%2bServices,20.71,15.55,3.59,.02,5.8,2.6
LMRK,9.69,Consumer%2bServices,,,,.04,0.65,2
LMRKN,24.19,Consumer%2bServices,,,,,,
LMRKO,22.654,Consumer%2bServices,,,,,,
LMRKP,23.5,Consumer%2bServices,,,,,,
LE,8.335,Consumer%2bServices,52.09,,0.16,N/A,,3
LVS,47.19,Consumer%2bServices,17.16,NE,2.75,-44.78,3.26,1.6
LAUR,10.16,Consumer%2bServices,2.68,6.90,3.79,.46,0.07,1.33
LEE,1.12,Consumer%2bServices,10.18,,0.11,N/A,,
LHC,10.45,Consumer%2bServices,,,,,,
LBRDA,128.61,Consumer%2bServices,189.13,116.89,0.68,.12,,1
LBRDK,130.35,Consumer%2bServices,191.69,57.52,0.68,.06,0.64,1.5
LBTYB,23.35,Consumer%2bServices,1.35,,17.29,N/A,,
LILA,10.2,Consumer%2bServices,NE,NE,-1.21,-.01,,2.33
LILAK,9.87,Consumer%2bServices,NE,,-1.21,N/A,,1
BATRA,20.98,Consumer%2bServices,NE,,-0.93,N/A,,1
BATRK,20.53,Consumer%2bServices,NE,NE,-0.93,-.01,-1.51,3
FWONA,31.18,Consumer%2bServices,NE,NE,-2.18,-7.12,,2
FWONK,33.06,Consumer%2bServices,NE,NE,-2.18,-.02,-1.35,1.5
LSXMA,35.69,Consumer%2bServices,18.59,,1.92,N/A,,1.29
LSXMB,37.56,Consumer%2bServices,19.56,,1.92,N/A,,
LSXMK,35.27,Consumer%2bServices,18.37,19.89,1.92,1.57,1.53,1.25
LSI,93.98,Consumer%2bServices,16.87,16.61,5.57,3.95,5.62,1.89
LTBR,4.95,Consumer%2bServices,NE,,-3.19,N/A,,
LITB,0.9551,Consumer%2bServices,NE,,-0.35,N/A,,
LINC,4.055,Consumer%2bServices,22.53,40.90,0.18,2.73,0.08,1
LIND,8.23,Consumer%2bServices,NE,NE,-0.06,-.01,0.39,2
LYV,46.51,Consumer%2bServices,NE,NE,-0.70,-.01,-0.02,1.8
LIVX,3.81,Consumer%2bServices,NE,NE,-0.70,-.01,-0.69,1
LKQ,25.93,Consumer%2bServices,13.65,16.76,1.90,.02,2.37,1.44
LOW,133.83,Consumer%2bServices,22.61,20.23,5.92,1.30,5.72,1.33
LTC,37.74,Consumer%2bServices,12.17,13.50,3.10,.01,3.08,2.67
LUB,1.5,Consumer%2bServices,NE,,-0.89,N/A,,
LK,3.82,Consumer%2bServices,,,,-.02,999,3
LL,12.24,Consumer%2bServices,13.16,32.86,0.93,1.20,0.58,3.26
MAC,8.85,Consumer%2bServices,13.01,3.09,0.68,.00,3.54,3.79
CLI,15.74,Consumer%2bServices,NE,12.98,-2.19,2.94,1.62,3.14
M,6.88,Consumer%2bServices,NE,NE,-0.72,-.15,2.91,3.64
MSGE,78.35,Consumer%2bServices,,,,-.01,999,1
MSGS,159,Consumer%2bServices,NE,NE,-7.43,-.10,0.48,1.33
MMYT,17.85,Consumer%2bServices,NE,NE,-1.43,-.01,,1.88
MANU,16.22,Consumer%2bServices,NE,NE,-0.07,-24.14,0.32,2
LOAN,4.25,Consumer%2bServices,9.24,,0.46,N/A,,1
MANT,67.16,Consumer%2bServices,22.39,22.71,3,3.09,2.91,2
