SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
MGI,3.36,Miscellaneous,NE,NE,-0.95,-.01,-0.06,3.5
MSCI,333.46,Miscellaneous,53.44,46.75,6.24,.05,6.44,2.25
NCR,17.82,Miscellaneous,5.52,12.56,3.23,.01,2.81,1.75
NTES,413.21,Miscellaneous,17,25.97,24.31,.61,14.67,1.22
NTIP,2.29,Miscellaneous,NE,,-0.12,N/A,,
EGOV,22.785,Miscellaneous,30.38,30.64,0.75,.03,0.77,1.67
NLSN,14.74,Miscellaneous,NE,11.26,-1.35,.01,1.69,1.95
NOVT,101.55,Miscellaneous,89.08,71.11,1.14,.07,2.14,3
OPRX,13.01,Miscellaneous,NE,NE,-0.37,-.05,-0.19,1
PAR,30.05,Miscellaneous,NE,NE,-1.39,-.03,-0.57,1
PYPL,164.36,Miscellaneous,104.03,70.31,1.58,4.72,2.45,1.32
PAYS,8.01,Miscellaneous,57.21,29.63,0.14,.03,,1.4
PFSW,7.83,Miscellaneous,NE,30.88,-0.06,.03,0.05,1.25
PHR,28.28,Miscellaneous,NE,NE,-10.75,-3.24,-4.5,1.27
PDD,87.58,Miscellaneous,NE,NE,-1.10,-.09,-0.88,2.27
PBI,2.61,Miscellaneous,NE,11.57,-0.08,.01,0.68,3
PCOM,9.81,Miscellaneous,12.11,NE,0.81,-.01,0.86,3
POLA,1.48,Miscellaneous,21.14,,0.07,N/A,,
PRTH,2.65,Miscellaneous,NE,127,-0.50,.13,,1
QIWI,17.06,Miscellaneous,13.98,9.75,1.22,.01,1.73,1.67
QUAD,3.43,Miscellaneous,NE,,-2.92,N/A,,
QNST,10.51,Miscellaneous,28.41,178.33,0.37,7.13,1.18,1.5
RRD,1.24,Miscellaneous,NE,1.46,-1.36,.00,,
RRD,1.24,Miscellaneous,NE,1.46,-1.36,.00,,
RDWR,23.75,Miscellaneous,55.23,58.29,0.43,3.64,0.57,1.83
RPAY,25.34,Miscellaneous,,,,.06,999,1.13
REFR,5.13,Miscellaneous,NE,,-0.12,N/A,,
RSSS,2.68,Miscellaneous,NE,,-0.03,N/A,,
RGP,11.22,Miscellaneous,10.89,11.27,1.03,.01,1.03,4
RMNI,4.51,Miscellaneous,NE,20,-0.26,1.33,0.25,1
RBA,39.77,Miscellaneous,28.41,33.12,1.40,4.73,1.33,2.25
SREV,1.62,Miscellaneous,NE,NE,-0.20,-.01,-0.09,1
FOUR,41.75,Miscellaneous,,,,N/A,,
SSNT,2.39,Miscellaneous,,,,N/A,,
SGRP,0.8176,Miscellaneous,7.43,,0.11,N/A,,
SPB,45.16,Miscellaneous,NE,16.06,-5.05,1.21,2.86,2.2
